TOTAL REVENUE,2024,2023,Growth (CER),Growth
RexultiÂź,"5,202","4,525",16%,15%
BrintellixÂź/TrintellixÂź,"4,847","4,324",14%,12%
Abilify LAI franchise,"3,504","3,187",10%,10%
VyeptiÂź,"2,909","1,697",72%,71%
Strategic brands,"16,462","13,733",21%,20%
CipralexÂź/LexaproÂź,"2,048","2,135",2%,(4%)
Other pharmaceuticals,"3,180","3,580",(9%),(11%)
Mature brands,"5,228","5,715",(5%),(9%)
Other revenue,366,327,12%,12%
Total revenue before hedging,"22,056","19,775",14%,12%
Effects from hedging,(52),137,,
Total revenue,"22,004","19,912",14%,11%
